N,Method,BoundaryCondition,MaxNorm
6,PPForm1,NA,0.5
6,BSpline1,NA,0.5
6,PPForm3,NATURAL,0.423482
6,PPForm3,COMPLETE,0.421705
6,PPForm3,NOT_A_KNOT,0.431538
6,PPForm3,SECOND,0.423703
6,BSpline3,NATURAL,0.423482
6,BSpline3,COMPLETE,0.421705
6,BSpline3,NOT_A_KNOT,0.431538
6,BSpline3,SECOND,0.423703
11,PPForm1,NA,0.05
11,BSpline1,NA,0.05
11,PPForm3,NATURAL,0.0205306
11,PPForm3,COMPLETE,0.0205289
11,PPForm3,NOT_A_KNOT,0.0205334
11,PPForm3,SECOND,0.0205291
11,BSpline3,NATURAL,0.0205306
11,BSpline3,COMPLETE,0.0205289
11,BSpline3,NOT_A_KNOT,0.0205334
11,BSpline3,SECOND,0.0205291
21,PPForm1,NA,0.0411765
21,BSpline1,NA,0.0411765
21,PPForm3,NATURAL,0.00316894
21,PPForm3,COMPLETE,0.00316894
21,PPForm3,NOT_A_KNOT,0.00316894
21,PPForm3,SECOND,0.00316894
21,BSpline3,NATURAL,0.00316894
21,BSpline3,COMPLETE,0.00316894
21,BSpline3,NOT_A_KNOT,0.00316894
21,BSpline3,SECOND,0.00316894
41,PPForm1,NA,0.0140271
41,BSpline1,NA,0.0140271
41,PPForm3,NATURAL,0.000275356
41,PPForm3,COMPLETE,0.000275356
41,PPForm3,NOT_A_KNOT,0.000275356
41,PPForm3,SECOND,0.000275356
41,BSpline3,NATURAL,0.000275356
41,BSpline3,COMPLETE,0.000275356
41,BSpline3,NOT_A_KNOT,0.000275356
41,BSpline3,SECOND,0.000275356
81,PPForm1,NA,0.00380126
81,BSpline1,NA,0.00380126
81,PPForm3,NATURAL,1.609e-005
81,PPForm3,COMPLETE,1.609e-005
81,PPForm3,NOT_A_KNOT,1.609e-005
81,PPForm3,SECOND,1.609e-005
81,BSpline3,NATURAL,1.609e-005
81,BSpline3,COMPLETE,1.609e-005
81,BSpline3,NOT_A_KNOT,1.609e-005
81,BSpline3,SECOND,1.609e-005
