N,Method,BoundaryCondition,MaxError,ConvergenceRate
6,PPForm1,NA,0.5,0
6,BSpline1,NA,0.5,0
6,PPForm3,NATURAL,0.423482,0
6,PPForm3,COMPLETE,0.421705,0
6,PPForm3,NOT_A_KNOT,0.431538,0
6,PPForm3,SECOND,0.423703,0
6,BSpline3,NATURAL,0.423482,0
6,BSpline3,COMPLETE,0.421705,0
6,BSpline3,NOT_A_KNOT,0.431538,0
6,BSpline3,SECOND,0.423703,0
11,PPForm1,NA,0.0674312,-2.89044
11,BSpline1,NA,0.0674312,-2.89044
11,PPForm3,NATURAL,0.0219723,-4.26854
11,PPForm3,COMPLETE,0.0219704,-4.2626
11,PPForm3,NOT_A_KNOT,0.0219755,-4.29552
11,PPForm3,SECOND,0.0219706,-4.26941
11,BSpline3,NATURAL,0.0219723,-4.26854
11,BSpline3,COMPLETE,0.0219704,-4.2626
11,BSpline3,NOT_A_KNOT,0.0219755,-4.29552
11,BSpline3,SECOND,0.0219706,-4.26941
21,PPForm1,NA,0.0418144,-0.344708
21,BSpline1,NA,0.0418144,-0.344708
21,PPForm3,NATURAL,0.00318271,-1.39368
21,PPForm3,COMPLETE,0.00318271,-1.39362
21,PPForm3,NOT_A_KNOT,0.00318271,-1.39378
21,PPForm3,SECOND,0.00318271,-1.39362
21,BSpline3,NATURAL,0.00318271,-1.39368
21,BSpline3,COMPLETE,0.00318271,-1.39362
21,BSpline3,NOT_A_KNOT,0.00318271,-1.39378
21,BSpline3,SECOND,0.00318271,-1.39362
41,PPForm1,NA,0.0140271,-0.525259
41,BSpline1,NA,0.0140271,-0.525259
41,PPForm3,NATURAL,0.000277684,-1.17291
41,PPForm3,COMPLETE,0.000277684,-1.17291
41,PPForm3,NOT_A_KNOT,0.000277684,-1.17291
41,PPForm3,SECOND,0.000277684,-1.17291
41,BSpline3,NATURAL,0.000277684,-1.17291
41,BSpline3,COMPLETE,0.000277684,-1.17291
41,BSpline3,NOT_A_KNOT,0.000277684,-1.17291
41,BSpline3,SECOND,0.000277684,-1.17291
81,PPForm1,NA,0.00380126,-0.470918
81,BSpline1,NA,0.00380126,-0.470918
81,PPForm3,NATURAL,1.609e-005,-1.0273
81,PPForm3,COMPLETE,1.609e-005,-1.0273
81,PPForm3,NOT_A_KNOT,1.609e-005,-1.0273
81,PPForm3,SECOND,1.609e-005,-1.0273
81,BSpline3,NATURAL,1.609e-005,-1.0273
81,BSpline3,COMPLETE,1.609e-005,-1.0273
81,BSpline3,NOT_A_KNOT,1.609e-005,-1.0273
81,BSpline3,SECOND,1.609e-005,-1.0273
